task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
92	a3/ae2d54	22412.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:PAIRS_CREATE_CONTACT_MAPS:PRETEXTSNAPSHOT (primary_hap1)	COMPLETED	0	2026-02-10 20:26:37.910	4.9s	1s	182.4%	10.8 MB	373.8 MB	159.4 MB	246 KB
78	29/8c7cb9	22102.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING_STATS:SAMTOOLS_STATS (primary_hap1)	COMPLETED	0	2026-02-10 19:46:48.429	40m 29s	40m 24s	140.5%	8.9 MB	209.9 MB	81.1 GB	312.3 KB
90	6e/be71ee	22399.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:PAIRS_CREATE_CONTACT_MAPS:COOLER_CLOAD (primary_hap1)	COMPLETED	0	2026-02-10 20:22:32.940	5m 35s	5m 29s	108.6%	3.1 GB	19.6 GB	1.1 GB	336.7 MB
85	e9/7546b5	22373.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING_STATS:SAMTOOLS_FLAGSTAT (primary_hap2)	COMPLETED	0	2026-02-10 20:19:17.897	11m	10m 57s	142.6%	7.3 MB	208.4 MB	87.2 GB	5.5 KB
84	16/fb1569	22376.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:BEDTOOLS_BAMTOBEDSORT (primary_hap2)	COMPLETED	0	2026-02-10 20:19:17.995	12m	11m 57s	330.1%	33.6 GB	36.8 GB	183.8 GB	110.5 GB
93	5d/8d27fd	22415.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:PAIRS_CREATE_CONTACT_MAPS:COOLER_ZOOMIFY (primary_hap1)	COMPLETED	0	2026-02-10 20:28:08.021	3m 35s	3m 26s	213.3%	18.1 GB	232.4 GB	7.7 GB	7.4 GB
94	cf/a93658	22417.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:YAHS (primary_hap2)	COMPLETED	0	2026-02-10 20:31:18.044	3m 35s	3m 32s	100.5%	3.7 GB	3.7 GB	30.5 GB	2.8 GB
95	75/8ae120	22482.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:SAMTOOLS_FAIDX_SCAFFOLDS (asm_hap2_scaffolds_final.fa)	COMPLETED	0	2026-02-10 20:34:53.028	9.8s	8s	87.3%	6.1 MB	10.7 MB	2.1 GB	141.8 KB
96	eb/77fc99	22483.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:BGZIP_ASSEMBLIES (primary_hap1)	COMPLETED	0	2026-02-10 20:34:53.064	1m 30s	1m 25s	100.1%	10.4 MB	14.3 MB	684.3 MB	177.7 MB
98	4b/4ae6a0	22485.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:SCAFFOLDING_YAHS:YAHS_MAKEPAIRSFILE (primary_hap2)	COMPLETED	0	2026-02-10 20:35:03.010	1m 30s	1m 27s	320.3%	6.7 GB	40.3 GB	5.7 GB	5.4 GB
