task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
44	58/38a003	20746.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:SAMTOOLS_SPLITHEADER (DurSim.cram)	COMPLETED	0	2026-02-04 13:53:03.159	4.7s	0ms	100.9%	3.1 MB	4.3 MB	289.1 KB	7.6 KB
43	e7/773629	20747.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:SAMTOOLS_SPLITHEADER (DurSim.cram)	COMPLETED	0	2026-02-04 13:53:03.193	4.7s	0ms	127.3%	3.1 MB	4.3 MB	289.1 KB	7.6 KB
41	9d/530eaf	20748.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:BAM_SAMTOOLS_MERGE_MARKDUP:SAMTOOLS_FAIDX (primary_hap1)	COMPLETED	0	2026-02-04 13:53:03.227	4.6s	2s	100.7%	6.1 MB	10.7 MB	703.1 MB	18.4 KB
35	34/f927a8	20739.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:BGZIP_ASSEMBLIES (primary_hap1)	COMPLETED	0	2026-02-04 13:53:02.906	1m 25s	1m 21s	100.1%	10.4 MB	14.3 MB	703.1 MB	169.4 MB
36	e1/742e02	20740.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:BGZIP_ASSEMBLIES (primary_hap2)	COMPLETED	0	2026-02-04 13:53:02.943	1m 35s	1m 30s	100.0%	10.4 MB	14.3 MB	913.9 MB	194.6 MB
47	3e/48a0c8	20758.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:ASMSTATS (primary_hap1)	COMPLETED	0	2026-02-04 13:54:37.949	9.9s	6.3s	99.2%	39.8 MB	50.4 MB	169.7 MB	21.3 KB
50	e2/c0e39c	20757.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:ASMSTATS (primary_hap2)	COMPLETED	0	2026-02-04 13:54:37.911	9.9s	7.8s	100.6%	37.5 MB	50.7 MB	195 MB	63.7 KB
49	e4/34840b	20761.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:GFASTATS (primary_hap1)	COMPLETED	0	2026-02-04 13:54:38.058	2m 15s	2m 11s	108.2%	938.9 MB	1.2 GB	169.5 MB	185.7 MB
53	b6/efdb71	20759.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:GFASTATS (primary_hap2)	COMPLETED	0	2026-02-04 13:54:37.985	2m 30s	2m 28s	109.2%	1.2 GB	1.5 GB	194.8 MB	213.9 MB
40	65/dd5d34	20745.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:BWAMEM2_INDEX (primary)	COMPLETED	0	2026-02-04 13:53:03.125	5m 45s	5m 39s	99.3%	16.5 GB	17 GB	878.9 MB	3.8 GB
37	05/e0f75a	20744.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:BWAMEM2_INDEX (primary)	COMPLETED	0	2026-02-04 13:53:03.089	6m 15s	6m 13s	99.4%	21.4 GB	21.5 GB	1.1 GB	4.9 GB
62	ec/a5354e	20768.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_BWAMEM2ALIGNHIC (DurSim.cram.asm_hap1.8)	COMPLETED	0	2026-02-04 13:58:48.095	4m 15s	4m 12s	1463.9%	14.4 GB	29.9 GB	18 GB	14.8 GB
52	1b/5463fc	20763.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:MERQURYFK_MERQURYFK (primary)	COMPLETED	0	2026-02-04 13:54:38.135	15m	14m 51s	509.1%	14.7 GB	17 GB	213.6 GB	74.3 GB
48	01/4c6dda	20760.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:BUSCO_BUSCO (primary_hap1)	COMPLETED	0	2026-02-04 13:54:38.020	16m 15s	16m 5s	1340.1%	7 GB	287 GB	9 GB	6.4 GB
51	12/e38b78	20762.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:GENOME_STATISTICS:BUSCO_BUSCO (primary_hap2)	COMPLETED	0	2026-02-04 13:54:38.096	17m 5s	16m 54s	1353.4%	8 GB	288.2 GB	10.2 GB	7.1 GB
71	d9/d3b624	20779.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_BWAMEM2ALIGNHIC (DurSim.cram.asm_hap2.8)	COMPLETED	0	2026-02-04 13:59:18.163	15m 45s	4m 2s	1457.3%	17.1 GB	32.7 GB	19 GB	14.8 GB
56	30/cec51b	20770.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_BWAMEM2ALIGNHIC (DurSim.cram.asm_hap1.2)	COMPLETED	0	2026-02-04 13:58:48.161	41m 40s	41m 37s	1580.4%	24.8 GB	33.2 GB	191.5 GB	193.5 GB
57	de/867a56	20771.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_BWAMEM2ALIGNHIC (DurSim.cram.asm_hap1.3)	COMPLETED	0	2026-02-04 13:58:48.196	43m 20s	43m 16s	1571.1%	24.8 GB	33.4 GB	191.3 GB	193.3 GB
54	2a/fa5932	20769.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_BWAMEM2ALIGNHIC (DurSim.cram.asm_hap1.0)	COMPLETED	0	2026-02-04 13:58:48.127	46m 10s	46m 6s	1571.3%	24.8 GB	33.1 GB	191.4 GB	193.4 GB
59	87/f7f29b	20764.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_BWAMEM2ALIGNHIC (DurSim.cram.asm_hap1.5)	COMPLETED	0	2026-02-04 13:58:47.942	46m 20s	46m 17s	1573.3%	24.7 GB	33.1 GB	191.2 GB	193.3 GB
60	71/222eb3	20765.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_BWAMEM2ALIGNHIC (DurSim.cram.asm_hap1.6)	COMPLETED	0	2026-02-04 13:58:47.981	46m 35s	46m 29s	1570.0%	24.8 GB	33.3 GB	191.4 GB	193.4 GB
61	f5/519a03	20772.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_BWAMEM2ALIGNHIC (DurSim.cram.asm_hap1.7)	COMPLETED	0	2026-02-04 13:58:48.232	47m	46m 57s	1575.6%	24.7 GB	33.1 GB	191.2 GB	193.3 GB
55	82/1cbed8	20766.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_BWAMEM2ALIGNHIC (DurSim.cram.asm_hap1.1)	COMPLETED	0	2026-02-04 13:58:48.018	47m 25s	47m 20s	1560.9%	24.8 GB	33.2 GB	191.2 GB	193.2 GB
58	92/145935	20767.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_BWAMEM2ALIGNHIC (DurSim.cram.asm_hap1.4)	COMPLETED	0	2026-02-04 13:58:48.056	47m 25s	47m 19s	1569.8%	24.7 GB	33 GB	191.5 GB	193.6 GB
63	82/dce14e	20777.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_BWAMEM2ALIGNHIC (DurSim.cram.asm_hap2.0)	COMPLETED	0	2026-02-04 13:59:18.077	47m 50s	47m 44s	1571.1%	27.4 GB	35.6 GB	191.9 GB	192.8 GB
69	1a/b510c1	20776.shnsccadmin01	SANGERTOL_GENOMEASSEMBLY:GENOMEASSEMBLY:SCAFFOLDING:HIC_MAPPING:CRAMALIGN_BWAMEM2ALIGNHIC (DurSim.cram.asm_hap2.6)	COMPLETED	0	2026-02-04 13:59:18.033	48m 15s	48m 8s	1569.1%	27.3 GB	35.6 GB	191.9 GB	192.8 GB
